ctrl_iteration,exec_time,tau_i,tau_o
606,2958.16,1.20,0.45
607,1898.47,1.25,0.45
608,2566.27,1.20,0.45
609,2374.10,1.25,0.45
610,2174.31,1.25,0.45
611,1982.41,1.25,0.45
612,1903.83,1.25,0.50
613,2580.42,1.20,0.45
614,2388.74,1.25,0.45
615,2196.24,1.25,0.45
616,2004.89,1.20,0.45
617,3759.61,1.25,0.45
618,4556.92,1.25,0.45
619,3383.77,1.25,0.45
620,4174.05,1.25,0.45
621,3000.15,1.25,0.45
622,2816.87,1.25,0.45
623,3616.15,1.25,0.45
624,3414.77,1.25,0.50
625,4212.62,1.25,0.45
626,3040.17,1.25,0.45
627,1867.27,1.25,0.45
628,6574.68,1.25,0.45
629,5401.21,1.25,0.45
630,4506.47,1.20,0.45
631,4044.63,1.25,0.45
632,2879.63,1.25,0.45
633,4651.43,1.20,0.45
634,3486.63,1.25,0.45
635,2322.27,1.20,0.45
636,2129.87,1.20,0.45
637,1938.40,1.25,0.45
638,2736.48,1.25,0.45
639,2553.76,1.25,0.45
640,2362.15,1.25,0.45
641,2178.60,1.20,0.50
642,1987.28,1.25,0.45
643,1804.23,1.25,0.45
644,2593.52,1.25,0.45
645,3382.87,1.25,0.45
646,3192.84,1.20,0.45
647,3998.73,1.25,0.45
648,2833.80,1.25,0.45
649,3632.00,1.20,0.45
650,3441.12,1.25,0.45
651,4239.12,1.25,0.45
652,3065.80,1.25,0.45
653,1901.72,1.25,0.45
654,6617.39,1.25,0.45
655,5444.11,1.25,0.45
656,5260.46,1.25,0.45
657,4096.37,1.25,0.45
658,2922.41,1.20,0.50
659,4711.32,1.25,0.45
660,3546.50,1.25,0.45
661,3354.94,1.25,0.45
662,4153.42,1.20,0.45
663,2988.59,1.25,0.50
664,1824.39,1.25,0.45
665,4602.69,1.25,0.45
666,2430.96,1.25,0.45
667,2239.29,1.25,0.45
668,2047.48,1.25,0.45
669,1855.83,1.25,0.45
670,2644.74,1.25,0.45
671,2453.58,1.20,0.45
672,2261.54,1.20,0.45
673,2069.60,1.20,0.45
674,1878.67,1.25,0.45
675,3640.24,1.25,0.45
676,3449.59,1.25,0.45
677,4238.46,1.25,0.45
678,3073.57,1.25,0.45
679,3863.49,1.25,0.45
680,4653.10,1.25,0.45
681,3497.57,1.25,0.45
682,3297.36,1.20,0.45
683,3114.14,1.25,0.45
684,3912.69,1.25,0.45
685,4702.47,1.25,0.45
686,3538.01,1.25,0.45
687,3346.08,1.25,0.45
688,4135.69,1.25,0.45
689,2970.59,1.20,0.45
690,1806.39,1.25,0.45
691,6522.34,1.25,0.45
692,5358.40,1.25,0.45
693,4462.51,1.25,0.45
694,4010.39,1.25,0.45
695,1863.62,1.25,0.45
696,2662.31,1.25,0.45
697,2479.73,1.25,0.45
698,2296.22,1.20,0.45
699,2121.18,1.25,0.45
700,1929.98,1.20,0.45
701,2728.67,1.25,0.45
702,2545.68,1.20,0.45
703,2361.35,1.25,0.45
704,2178.71,1.20,0.45
705,3950.24,1.25,0.45
706,2785.54,1.25,0.45
707,4574.68,1.25,0.45
708,3409.39,1.25,0.45
709,3225.93,1.25,0.45
710,4025.68,1.25,0.45
711,2860.66,1.25,0.45
