ctrl_iteration,exec_time,tau_i,tau_o
704,4576.36,2.10,0.60
705,3410.91,2.10,0.60
706,4202.08,2.10,0.60
707,3036.09,2.10,0.60
708,2853.27,2.10,0.60
709,3643.57,2.10,0.65
710,2478.17,2.10,0.60
711,2278.04,2.10,0.60
712,2086.34,2.10,0.60
713,1894.18,2.10,0.60
714,2684.21,2.10,0.60
715,2492.10,2.30,0.60
716,2300.54,2.05,0.65
717,2108.96,2.10,0.65
718,1925.40,2.10,0.60
719,3680.43,2.10,0.65
720,3487.77,2.10,0.60
721,4278.26,2.30,0.60
722,3105.07,2.10,0.60
723,3885.63,2.10,0.60
724,4675.07,2.10,0.60
725,3510.49,2.05,0.60
726,3318.98,2.10,0.60
727,3127.43,2.10,0.60
728,3908.38,2.10,0.65
729,2734.91,2.05,0.60
730,3524.74,2.10,0.60
731,3332.37,2.30,0.60
732,4122.28,2.05,0.60
733,2940.93,2.10,0.60
734,1767.33,2.10,0.60
735,6475.20,2.10,0.65
736,5292.77,2.10,0.60
737,4405.79,2.10,0.60
738,3927.67,2.10,0.60
739,1902.78,2.05,0.60
740,2571.11,2.10,0.60
741,2378.45,2.10,0.60
742,2187.64,2.10,0.60
743,1995.92,2.30,0.60
744,1804.06,2.10,0.60
745,2592.95,2.10,0.60
746,2410.41,2.10,0.65
747,2218.28,2.10,0.60
748,2026.62,2.10,0.65
749,3789.35,2.10,0.60
750,3614.87,2.05,0.60
751,2441.77,2.10,0.60
752,4212.49,2.30,0.65
753,3048.42,2.10,0.60
754,3837.76,2.10,0.65
755,4620.09,2.10,0.60
756,3454.16,2.10,0.60
757,3254.82,2.10,0.60
758,4043.79,2.10,0.60
759,2870.62,2.05,0.60
760,3669.22,2.05,0.60
761,3476.17,2.10,0.60
762,4266.47,2.10,0.65
763,3093.36,2.10,0.60
764,1920.41,2.10,0.60
765,6619.76,2.30,0.60
766,5445.47,2.25,0.60
767,4610.96,2.10,0.60
768,4079.92,2.10,0.65
769,1934.35,2.10,0.65
770,2715.77,2.10,0.60
771,2514.71,2.30,0.60
772,2323.00,2.10,0.60
773,2122.50,2.10,0.60
774,1930.51,2.05,0.65
775,2720.87,2.10,0.60
776,2528.68,2.05,0.60
777,2337.32,2.10,0.60
