ctrl_iteration,exec_time,tau_i,tau_o
714,2998.63,1.25,0.50
715,2815.68,1.20,0.45
716,3614.07,1.25,0.45
717,3431.38,1.25,0.45
718,2266.52,1.25,0.45
719,2074.88,1.20,0.45
720,1882.55,1.25,0.45
721,2673.02,1.25,0.45
722,2481.44,1.20,0.45
723,2297.73,1.25,0.45
724,2105.71,1.25,0.45
725,1923.13,1.25,0.45
726,2721.04,1.20,0.45
727,2529.72,1.20,0.45
728,4291.69,1.20,0.50
729,3127.54,1.25,0.45
730,2943.82,1.25,0.45
731,2752.39,1.25,0.45
732,4515.62,1.20,0.45
733,3342.20,1.20,0.45
734,4131.34,1.25,0.45
735,2957.96,1.25,0.45
736,3748.45,1.25,0.45
737,4546.35,1.20,0.45
738,3373.44,1.20,0.45
739,2494.79,1.25,0.45
740,3277.05,1.25,0.45
741,2806.68,1.25,0.45
742,4587.45,1.20,0.45
743,3413.82,1.25,0.45
744,4212.10,1.20,0.45
745,3047.57,1.25,0.45
746,2855.19,1.15,0.45
747,2672.49,1.20,0.45
748,2480.38,1.20,0.45
749,2297.42,1.20,0.45
750,2105.48,1.15,0.45
751,1913.40,1.20,0.45
752,2712.23,1.25,0.45
753,2519.69,1.25,0.45
754,2329.10,1.25,0.50
755,2136.97,1.25,0.45
756,1944.77,1.25,0.45
757,4698.14,1.20,0.45
758,4506.73,1.25,0.45
759,3332.62,1.20,0.45
760,3141.22,1.25,0.45
761,3931.18,1.25,0.50
762,2765.70,1.20,0.45
763,3556.21,1.25,0.45
764,3363.93,1.20,0.45
765,4067.55,1.20,0.45
766,2901.95,1.20,0.45
767,1816.25,1.25,0.45
768,4109.19,1.25,0.45
769,4289.49,1.20,0.45
770,3125.60,1.15,0.45
771,3916.30,1.20,0.45
772,2750.76,1.25,0.45
773,4530.87,1.20,0.45
774,3357.25,1.20,0.45
775,3174.48,1.20,0.45
776,3963.62,1.20,0.45
777,1818.16,1.25,0.50
778,2607.29,1.20,0.45
779,2424.43,1.25,0.45
780,2232.44,1.20,0.45
781,2040.54,1.25,0.45
782,1857.84,1.25,0.45
783,2656.13,1.20,0.45
784,2464.20,1.20,0.45
785,2280.82,1.25,0.45
786,2097.86,1.20,0.45
787,3877.82,1.25,0.45
788,2713.16,1.20,0.45
789,3511.97,1.20,0.50
790,3319.76,1.20,0.45
791,4110.82,1.20,0.45
792,2945.33,1.15,0.45
793,1789.03,1.25,0.45
794,6496.31,1.20,0.45
795,5323.79,1.20,0.50
796,4548.98,1.20,0.45
797,3975.97,1.25,0.45
798,2810.29,1.20,0.45
799,4600.12,1.20,0.45
800,3435.54,1.20,0.45
801,3251.97,1.20,0.45
802,4058.80,1.25,0.45
803,2894.95,1.20,0.45
804,3692.65,1.15,0.45
805,2528.30,1.20,0.45
806,4299.80,1.25,0.45
807,2153.28,1.20,0.45
808,1970.03,1.20,0.45
809,1778.31,1.20,0.45
810,2576.75,1.25,0.45
811,2393.68,1.20,0.45
812,2202.40,1.20,0.45
813,2018.91,1.20,0.45
814,1827.16,1.25,0.45
815,2625.15,1.25,0.45
816,2442.99,1.20,0.50
817,4222.62,1.25,0.45
818,3058.02,1.25,0.45
819,1893.21,1.20,0.45
820,3664.19,1.25,0.45
821,4455.09,1.20,0.45
822,3288.98,1.20,0.45
823,4079.81,1.25,0.45
824,2914.87,1.20,0.50
825,2722.64,1.20,0.45
826,4495.04,1.30,0.45
827,3329.36,1.25,0.45
828,4127.95,1.20,0.45
829,2954.84,1.25,0.50
830,2771.09,1.20,0.45
831,3570.12,1.20,0.45
832,3386.73,1.25,0.45
833,4185.98,1.25,0.45
834,3021.03,1.25,0.45
835,1864.38,1.20,0.45
836,3645.23,1.20,0.45
837,2480.03,1.20,0.45
838,2297.01,1.20,0.45
839,2114.02,1.25,0.45
840,1930.47,1.25,0.45
841,1747.78,1.25,0.45
842,2537.37,1.25,0.50
843,2354.15,1.20,0.45
844,2171.23,1.15,0.45
845,1979.00,1.25,0.45
846,1795.97,1.25,0.45
847,4531.91,1.20,0.45
848,3358.76,1.25,0.45
849,4149.51,1.20,0.45
850,2983.60,1.25,0.45
851,2801.17,1.20,0.45
852,3606.98,1.25,0.45
853,3415.39,1.20,0.45
854,4205.46,1.20,0.45
855,3032.73,1.25,0.45
856,1867.54,1.25,0.45
857,4125.78,1.20,0.45
858,3447.26,1.20,0.45
859,4237.10,1.20,0.45
860,3071.73,1.25,0.45
861,3870.87,1.20,0.45
862,2697.32,1.20,0.45
863,4477.89,1.25,0.45
864,3312.87,1.20,0.45
865,3120.58,1.20,0.45
866,1947.48,1.25,0.45
867,1764.26,1.25,0.45
868,2554.17,1.20,0.45
869,2361.93,1.20,0.45
870,2179.46,1.20,0.45
871,1995.86,1.25,0.45
872,1821.48,1.20,0.45
873,2594.50,1.25,0.45
874,2410.86,1.25,0.50
875,2227.73,1.25,0.45
876,4008.58,1.20,0.45
877,2834.96,1.20,0.45
878,1669.77,1.20,0.45
879,6377.50,1.20,0.45
880,5213.01,1.20,0.45
881,4439.19,1.20,0.45
882,3856.95,1.25,0.45
883,2682.27,1.20,0.45
884,4463.47,1.20,0.45
885,3298.72,1.20,0.45
886,2124.95,1.20,0.45
887,3896.21,1.25,0.45
888,2731.71,1.20,0.45
889,4503.44,1.25,0.50
890,3339.19,1.25,0.45
891,4136.95,1.25,0.45
892,2964.11,1.20,0.45
893,2789.13,1.20,0.45
894,3587.30,1.25,0.45
895,2423.18,1.25,0.45
896,2230.57,1.20,0.45
897,2047.93,1.30,0.45
898,1856.11,1.25,0.45
899,2654.57,1.25,0.45
900,2462.39,1.25,0.45
901,2270.65,1.20,0.45
902,2079.24,1.25,0.45
903,1887.30,1.25,0.45
904,1816.94,1.25,0.45
905,4448.42,1.25,0.45
906,3275.58,1.25,0.45
907,4065.18,1.20,0.45
908,2891.26,1.25,0.45
909,2700.05,1.25,0.45
910,4462.64,1.20,0.45
911,3289.78,1.25,0.45
912,4079.08,1.25,0.45
913,2905.24,1.25,0.45
914,3703.94,1.25,0.45
915,3520.54,1.25,0.45
916,3329.74,1.25,0.50
917,4119.39,1.25,0.45
918,2954.23,1.20,0.45
919,3744.23,1.25,0.45
920,2578.92,1.20,0.45
921,4351.47,1.25,0.45
922,3177.13,1.30,0.45
923,3967.11,1.25,0.45
924,1820.75,1.25,0.45
925,2610.54,1.25,0.45
